source_id,case_id,feature_or_span,reset_type,downstream_span,orientation,x_from_reset_m,L_over_D_from_reset,thermal_reset_status,hydraulic_reset_status,provenance_author_title,source_path,quality_flags
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,section_endpoint_or_recent_feature,lower_leg,mostly_horizontal,0.35684162,16.352882,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,"Shah, A Correlation for Laminar Hydrodynamic Entry Length Solutions for Circular and Noncircular Ducts; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,right_leg,section_endpoint_or_recent_feature,right_leg,mostly_vertical_downcomer,0.36576,16.766477,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,"Shah, A Correlation for Laminar Hydrodynamic Entry Length Solutions for Circular and Noncircular Ducts; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,section_endpoint_or_recent_feature,left_lower_leg,mostly_horizontal,0.12192,5.5888256,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,"Shah, A Correlation for Laminar Hydrodynamic Entry Length Solutions for Circular and Noncircular Ducts; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,recirculation_invalid_single_f;coarse_no_gci
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,test_section_span,no_local_reset_flag_in_pressure_ledger,test_section_span,mostly_horizontal,0.098072727,4.7396206,unknown_until_wall_material_or_heat_path_reset_mapped,not_flagged_in_pressure_ledger,"Shah, A Correlation for Laminar Hydrodynamic Entry Length Solutions for Circular and Noncircular Ducts; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_upper_leg,no_local_reset_flag_in_pressure_ledger,left_upper_leg,mostly_horizontal,0.14309042,6.5592798,unknown_until_wall_material_or_heat_path_reset_mapped,not_flagged_in_pressure_ledger,"Shah, A Correlation for Laminar Hydrodynamic Entry Length Solutions for Circular and Noncircular Ducts; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,recirculation_invalid_single_f;coarse_no_gci
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upper_leg,section_endpoint_or_recent_feature,upper_leg,mostly_horizontal,0.35687444,16.354078,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,"Shah, A Correlation for Laminar Hydrodynamic Entry Length Solutions for Circular and Noncircular Ducts; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,lower_leg,section_endpoint_or_recent_feature,lower_leg,mostly_horizontal,0.35684162,16.352882,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,"Shah, A Correlation for Laminar Hydrodynamic Entry Length Solutions for Circular and Noncircular Ducts; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,right_leg,section_endpoint_or_recent_feature,right_leg,mostly_vertical_downcomer,0.36576,16.766477,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,"Shah, A Correlation for Laminar Hydrodynamic Entry Length Solutions for Circular and Noncircular Ducts; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,left_lower_leg,section_endpoint_or_recent_feature,left_lower_leg,mostly_horizontal,0.12192,5.5888256,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,"Shah, A Correlation for Laminar Hydrodynamic Entry Length Solutions for Circular and Noncircular Ducts; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,recirculation_invalid_single_f;coarse_no_gci
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,test_section_span,no_local_reset_flag_in_pressure_ledger,test_section_span,mostly_horizontal,0.098072727,4.7396206,unknown_until_wall_material_or_heat_path_reset_mapped,not_flagged_in_pressure_ledger,"Shah, A Correlation for Laminar Hydrodynamic Entry Length Solutions for Circular and Noncircular Ducts; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
